
Number DevicePath          ImagePath
------ ----------          ---------
    10 \\.\PhysicalDrive10 D:\VHD\vcpkg.vhdx
     6 \\.\PhysicalDrive6  C:\VM\eXaZ\Virtual Hard Disks\eXaZ.vhdx
    11 \\.\PhysicalDrive11 D:\VHD\Z0.vhdx
     7 \\.\PhysicalDrive7  D:\VHD\lang.vhdx
    14 \\.\PhysicalDrive14 F:\VHD\fs01.vhdx
     9 \\.\PhysicalDrive9  D:\VHD\llvm.vhdx
     5 \\.\PhysicalDrive5  C:\ProgramData\Microsoft\Windows\Containers\BaseImages\61fc5ee9-56e4-436b-9bfa-1d598542288b\BaseLayer.vhdx
    13 \\.\PhysicalDrive13 F:\VHD\eXaZ-D.vhdx
    17 \\.\PhysicalDrive17 F:\VHD\K.vhdx
     6 \\.\PhysicalDrive6  C:\VM\eXaZ\Virtual Hard Disks\eXaZ.vhdx
    14 \\.\PhysicalDrive14 F:\VHD\fs01.vhdx
     8 \\.\PhysicalDrive8  D:\VHD\mu.vhdx
     6 \\.\PhysicalDrive6  C:\VM\eXaZ\Virtual Hard Disks\eXaZ.vhdx
    14 \\.\PhysicalDrive14 F:\VHD\fs01.vhdx
    12 \\.\PhysicalDrive12 F:\VHD\Z1.vhdx

