
DriveLetter FriendlyName FileSystemType DriveType HealthStatus OperationalStatus SizeRemaining      Size
----------- ------------ -------------- --------- ------------ ----------------- -------------      ----
Z           Z0           NTFS           Fixed     Healthy      OK                    239.62 GB 249.98 GB
            lang         NTFS           Fixed     Healthy      OK                     229.9 GB 249.98 GB
            J            NTFS           Fixed     Healthy      OK                     40.34 GB 449.98 GB
            llvm         NTFS           Fixed     Healthy      OK                     82.11 GB 249.98 GB
            mu           NTFS           Fixed     Healthy      OK                    245.41 GB 249.98 GB
J           Archives     NTFS           Fixed     Healthy      OK                    381.93 GB 699.87 GB
            vcpkg        NTFS           Fixed     Healthy      OK                    208.52 GB 249.98 GB
Y           Z1           NTFS           Fixed     Healthy      OK                    132.73 GB 249.98 GB
H                        NTFS           Fixed     Healthy      OK                    110.06 GB    319 GB
            Recovery     NTFS           Fixed     Healthy      OK                     75.73 MB    499 MB
                         FAT32          Fixed     Healthy      OK                     69.14 MB     95 MB
                         FAT32          Fixed     Healthy      OK                     67.29 MB     96 MB
                         NTFS           Fixed     Healthy      OK                    116.69 GB 126.32 GB
                         NTFS           Fixed     Healthy      OK                    114.83 MB    578 MB
                         FAT32          Fixed     Healthy      OK                     69.14 MB     95 MB
            Recovery     NTFS           Fixed     Healthy      OK                     75.73 MB    499 MB
H                        NTFS           Fixed     Healthy      OK                    110.06 GB    319 GB
                         FAT32          Fixed     Healthy      OK                     69.14 MB     95 MB
            Recovery     NTFS           Fixed     Healthy      OK                     75.73 MB    499 MB
                         FAT32          Fixed     Healthy      OK                     67.29 MB     96 MB
H                        NTFS           Fixed     Healthy      OK                    110.06 GB    319 GB
                         NTFS           Fixed     Healthy      OK                    114.83 MB    578 MB
                         NTFS           Fixed     Healthy      OK                    116.69 GB 126.32 GB
                         FAT32          Fixed     Healthy      OK                     67.29 MB     96 MB
                         NTFS           Fixed     Healthy      OK                    116.69 GB 126.32 GB
                         NTFS           Fixed     Healthy      OK                    114.83 MB    578 MB

