Table                    | Index        | Content
AsmOperandClassST        | 0            | AVX512RCOperand
AsmOperandClassST        | 1            | ImmAsmOperand
AsmOperandClassST        | 2            | ImmSExti16i8AsmOperand
AsmOperandClassST        | 3            | ImmSExti32i8AsmOperand
AsmOperandClassST        | 4            | ImmSExti64i32AsmOperand
AsmOperandClassST        | 5            | ImmSExti64i8AsmOperand
AsmOperandClassST        | 6            | ImmUnsignedi4AsmOperand
AsmOperandClassST        | 7            | ImmUnsignedi8AsmOperand
AsmOperandClassST        | 8            | VK16PairAsmOperand
AsmOperandClassST        | 9            | VK1PairAsmOperand
AsmOperandClassST        | 10           | VK2PairAsmOperand
AsmOperandClassST        | 11           | VK4PairAsmOperand
AsmOperandClassST        | 12           | VK8PairAsmOperand
AsmOperandClassST        | 13           | X86AbsMem16AsmOperand
AsmOperandClassST        | 14           | X86AbsMemAsmOperand
AsmOperandClassST        | 15           | X86DstIdx16Operand
AsmOperandClassST        | 16           | X86DstIdx32Operand
AsmOperandClassST        | 17           | X86DstIdx64Operand
AsmOperandClassST        | 18           | X86DstIdx8Operand
AsmOperandClassST        | 19           | X86GR16orGR32orGR64AsmOperand
AsmOperandClassST        | 20           | X86GR32orGR64AsmOperand
AsmOperandClassST        | 21           | X86Mem128AsmOperand
AsmOperandClassST        | 22           | X86Mem128_RC128Operand
AsmOperandClassST        | 23           | X86Mem128_RC128XOperand
AsmOperandClassST        | 24           | X86Mem128_RC256Operand
AsmOperandClassST        | 25           | X86Mem128_RC256XOperand
AsmOperandClassST        | 26           | X86Mem16AsmOperand
AsmOperandClassST        | 27           | X86Mem256AsmOperand
AsmOperandClassST        | 28           | X86Mem256_RC128Operand
AsmOperandClassST        | 29           | X86Mem256_RC128XOperand
AsmOperandClassST        | 30           | X86Mem256_RC256Operand
AsmOperandClassST        | 31           | X86Mem256_RC256XOperand
AsmOperandClassST        | 32           | X86Mem256_RC512Operand
AsmOperandClassST        | 33           | X86Mem32AsmOperand
AsmOperandClassST        | 34           | X86Mem512AsmOperand
AsmOperandClassST        | 35           | X86Mem512_RC256XOperand
AsmOperandClassST        | 36           | X86Mem512_RC512Operand
AsmOperandClassST        | 37           | X86Mem64AsmOperand
AsmOperandClassST        | 38           | X86Mem64_RC128Operand
AsmOperandClassST        | 39           | X86Mem64_RC128XOperand
AsmOperandClassST        | 40           | X86Mem80AsmOperand
AsmOperandClassST        | 41           | X86Mem8AsmOperand
AsmOperandClassST        | 42           | X86MemAsmOperand
AsmOperandClassST        | 43           | X86MemOffs16_16AsmOperand
AsmOperandClassST        | 44           | X86MemOffs16_32AsmOperand
AsmOperandClassST        | 45           | X86MemOffs16_8AsmOperand
AsmOperandClassST        | 46           | X86MemOffs32_16AsmOperand
AsmOperandClassST        | 47           | X86MemOffs32_32AsmOperand
AsmOperandClassST        | 48           | X86MemOffs32_64AsmOperand
AsmOperandClassST        | 49           | X86MemOffs32_8AsmOperand
AsmOperandClassST        | 50           | X86MemOffs64_16AsmOperand
AsmOperandClassST        | 51           | X86MemOffs64_32AsmOperand
AsmOperandClassST        | 52           | X86MemOffs64_64AsmOperand
AsmOperandClassST        | 53           | X86MemOffs64_8AsmOperand
AsmOperandClassST        | 54           | X86SibMemOperand
AsmOperandClassST        | 55           | X86SrcIdx16Operand
AsmOperandClassST        | 56           | X86SrcIdx32Operand
AsmOperandClassST        | 57           | X86SrcIdx64Operand
AsmOperandClassST        | 58           | X86SrcIdx8Operand
