Table                    | Index        | Content
SDPatternOperatorST      | 0            | AndMask64
SDPatternOperatorST      | 1            | BTCBTSMask64
SDPatternOperatorST      | 2            | BTRMask64
SDPatternOperatorST      | 3            | CommutableCMPCC
SDPatternOperatorST      | 4            | MMX_X86movd2w
SDPatternOperatorST      | 5            | MMX_X86movdq2q
SDPatternOperatorST      | 6            | MMX_X86movq2dq
SDPatternOperatorST      | 7            | MMX_X86movw2d
SDPatternOperatorST      | 8            | PrefetchWLevel
SDPatternOperatorST      | 9            | PrefetchWT1Level
SDPatternOperatorST      | 10           | X86Addsub
SDPatternOperatorST      | 11           | X86Blendi
SDPatternOperatorST      | 12           | X86Blendv
SDPatternOperatorST      | 13           | X86Conflict
SDPatternOperatorST      | 14           | X86DynAlloca
SDPatternOperatorST      | 15           | X86FmaddRnd
SDPatternOperatorST      | 16           | X86Fmaddsub
SDPatternOperatorST      | 17           | X86FmaddsubRnd
SDPatternOperatorST      | 18           | X86Fmsub
SDPatternOperatorST      | 19           | X86FmsubRnd
SDPatternOperatorST      | 20           | X86Fmsubadd
SDPatternOperatorST      | 21           | X86FmsubaddRnd
SDPatternOperatorST      | 22           | X86Fnmadd
SDPatternOperatorST      | 23           | X86FnmaddRnd
SDPatternOperatorST      | 24           | X86Fnmsub
SDPatternOperatorST      | 25           | X86FnmsubRnd
SDPatternOperatorST      | 26           | X86GF2P8affineinvqb
SDPatternOperatorST      | 27           | X86GF2P8affineqb
SDPatternOperatorST      | 28           | X86GF2P8mulb
SDPatternOperatorST      | 29           | X86GetMants
SDPatternOperatorST      | 30           | X86GetMantsSAE
SDPatternOperatorST      | 31           | X86MFence
SDPatternOperatorST      | 32           | X86MTruncSStore
SDPatternOperatorST      | 33           | X86MTruncUSStore
SDPatternOperatorST      | 34           | X86MemBarrier
SDPatternOperatorST      | 35           | X86Movddup
SDPatternOperatorST      | 36           | X86Movhlps
SDPatternOperatorST      | 37           | X86Movlhps
SDPatternOperatorST      | 38           | X86Movsd
SDPatternOperatorST      | 39           | X86Movsh
SDPatternOperatorST      | 40           | X86Movshdup
SDPatternOperatorST      | 41           | X86Movsldup
SDPatternOperatorST      | 42           | X86Movss
SDPatternOperatorST      | 43           | X86NoTrackBrind
SDPatternOperatorST      | 44           | X86NoTrackCall
SDPatternOperatorST      | 45           | X86PAlignr
SDPatternOperatorST      | 46           | X86PShufd
SDPatternOperatorST      | 47           | X86PShufhw
SDPatternOperatorST      | 48           | X86PShuflw
SDPatternOperatorST      | 49           | X86Packss
SDPatternOperatorST      | 50           | X86Packus
SDPatternOperatorST      | 51           | X86ProbedAlloca
SDPatternOperatorST      | 52           | X86Ranges
SDPatternOperatorST      | 53           | X86RangesSAE
SDPatternOperatorST      | 54           | X86RecoverFrameAlloc
SDPatternOperatorST      | 55           | X86Reduces
SDPatternOperatorST      | 56           | X86ReducesSAE
SDPatternOperatorST      | 57           | X86RndScales
SDPatternOperatorST      | 58           | X86RndScalesSAE
SDPatternOperatorST      | 59           | X86SegAlloca
SDPatternOperatorST      | 60           | X86Shuf128
SDPatternOperatorST      | 61           | X86Shufp
SDPatternOperatorST      | 62           | X86SintToFp
SDPatternOperatorST      | 63           | X86SintToFpRnd
SDPatternOperatorST      | 64           | X86SubVBroadcastld
SDPatternOperatorST      | 65           | X86SubVBroadcastld128
SDPatternOperatorST      | 66           | X86SubVBroadcastld256
SDPatternOperatorST      | 67           | X86TLSCall
SDPatternOperatorST      | 68           | X86TruncSStore
SDPatternOperatorST      | 69           | X86TruncUSStore
SDPatternOperatorST      | 70           | X86UintToFp
