| Type         | Identifier     | Name           | Description                                                                                                                                                                                                                                                               |
| InstClass    | SS48I          |                | SSE 4.1 instructions with T8 prefix.                                                                                                                                                                                                                                      |
| InstClass    | SS41AIi8       |                | SSE 4.1 instructions with TA prefix and ImmT == Imm8.                                                                                                                                                                                                                     |
| InstClass    | AVX28I         |                | AVX2 instructions with T8PD prefix.                                                                                                                                                                                                                                       |
| InstClass    | AVX2AIi8       |                | AVX2 instructions with TAPD prefix and ImmT = Imm8.                                                                                                                                                                                                                       |
| InstClass    | AVX8I          |                | AVX instructions with T8PD prefix.                                                                                                                                                                                                                                        |
| InstClass    | AVXAIi8        |                | AVX instructions with TAPD prefix and ImmT = Imm8.                                                                                                                                                                                                                        |
| InstClass    | AVX5128I       |                | AVX-512 instructions with T8PD prefix.                                                                                                                                                                                                                                    |
| InstClass    | AVX512AIi8     |                | AVX-512 instructions with TAPD prefix and ImmT = Imm8.                                                                                                                                                                                                                    |
| InstClass    | AVX512PDI      |                | AVX-512 instructions with PD, double packed.                                                                                                                                                                                                                              |
| InstClass    | AVX512PSI      | AVX512PSI      | AVX-512 instructions with PS, single packed.                                                                                                                                                                                                                              |
| InstClass    | AVX512XS8I     | AVX512XS8I     | AVX-512 instructions with T8 and XS prefixes.                                                                                                                                                                                                                             |
| InstClass    | AVX512XSI      | AVX512XSI      | AVX-512 instructions with XS prefix, generic domain.                                                                                                                                                                                                                      |
| InstClass    | AVX512BI       | AVX512BI       | AVX-512 instructions with PD, int packed domain.                                                                                                                                                                                                                          |
| InstClass    | AVX512SI       | AVX512SI       | AVX-512 scalar instructions with PD prefix.                                                                                                                                                                                                                               |

