Table                    | Index        | Content
CallingConvST            | 0            | CC_Intel_OCL_BI
CallingConvST            | 1            | CC_X86
CallingConvST            | 2            | CC_X86_32
CallingConvST            | 3            | CC_X86_32_C
CallingConvST            | 4            | CC_X86_32_Common
CallingConvST            | 5            | CC_X86_32_FastCC
CallingConvST            | 6            | CC_X86_32_FastCall
CallingConvST            | 7            | CC_X86_32_GHC
CallingConvST            | 8            | CC_X86_32_HiPE
CallingConvST            | 9            | CC_X86_32_MCU
CallingConvST            | 10           | CC_X86_32_RegCall
CallingConvST            | 11           | CC_X86_32_ThisCall
CallingConvST            | 12           | CC_X86_32_ThisCall_Common
CallingConvST            | 13           | CC_X86_32_ThisCall_Mingw
CallingConvST            | 14           | CC_X86_32_ThisCall_Win
CallingConvST            | 15           | CC_X86_32_Vector_Common
CallingConvST            | 16           | CC_X86_32_Vector_Darwin
CallingConvST            | 17           | CC_X86_32_Vector_Standard
CallingConvST            | 18           | CC_X86_64
CallingConvST            | 19           | CC_X86_64_AnyReg
CallingConvST            | 20           | CC_X86_64_C
CallingConvST            | 21           | CC_X86_64_GHC
CallingConvST            | 22           | CC_X86_64_HHVM
CallingConvST            | 23           | CC_X86_64_HHVM_C
CallingConvST            | 24           | CC_X86_64_HiPE
CallingConvST            | 25           | CC_X86_64_WebKit_JS
CallingConvST            | 26           | CC_X86_SysV64_RegCall
CallingConvST            | 27           | CC_X86_Win32_CFGuard_Check
CallingConvST            | 28           | CC_X86_Win32_Vector
CallingConvST            | 29           | CC_X86_Win32_VectorCall
CallingConvST            | 30           | CC_X86_Win64_C
CallingConvST            | 31           | CC_X86_Win64_RegCall
CallingConvST            | 32           | CC_X86_Win64_VectorCall
CallingConvST            | 33           | RetCC_Intel_OCL_BI
CallingConvST            | 34           | RetCC_X86
CallingConvST            | 35           | RetCC_X86Common
CallingConvST            | 36           | RetCC_X86_32
CallingConvST            | 37           | RetCC_X86_32_C
CallingConvST            | 38           | RetCC_X86_32_Fast
CallingConvST            | 39           | RetCC_X86_32_HiPE
CallingConvST            | 40           | RetCC_X86_32_RegCall
CallingConvST            | 41           | RetCC_X86_32_VectorCall
CallingConvST            | 42           | RetCC_X86_64
CallingConvST            | 43           | RetCC_X86_64_AnyReg
CallingConvST            | 44           | RetCC_X86_64_C
CallingConvST            | 45           | RetCC_X86_64_HHVM
CallingConvST            | 46           | RetCC_X86_64_HiPE
CallingConvST            | 47           | RetCC_X86_64_Swift
CallingConvST            | 48           | RetCC_X86_64_Vectorcall
CallingConvST            | 49           | RetCC_X86_64_WebKit_JS
CallingConvST            | 50           | RetCC_X86_SysV64_RegCall
CallingConvST            | 51           | RetCC_X86_Win64_C
CallingConvST            | 52           | RetCC_X86_Win64_RegCall
