Table                    | Index        | Content
SDNodeST                 | 0            | MMX_X86movd2w
SDNodeST                 | 1            | MMX_X86movdq2q
SDNodeST                 | 2            | MMX_X86movq2dq
SDNodeST                 | 3            | MMX_X86movw2d
SDNodeST                 | 4            | X86Addsub
SDNodeST                 | 5            | X86Blendi
SDNodeST                 | 6            | X86Blendv
SDNodeST                 | 7            | X86Conflict
SDNodeST                 | 8            | X86DynAlloca
SDNodeST                 | 9            | X86FmaddRnd
SDNodeST                 | 10           | X86Fmaddsub
SDNodeST                 | 11           | X86FmaddsubRnd
SDNodeST                 | 12           | X86Fmsub
SDNodeST                 | 13           | X86FmsubRnd
SDNodeST                 | 14           | X86Fmsubadd
SDNodeST                 | 15           | X86FmsubaddRnd
SDNodeST                 | 16           | X86Fnmadd
SDNodeST                 | 17           | X86FnmaddRnd
SDNodeST                 | 18           | X86Fnmsub
SDNodeST                 | 19           | X86FnmsubRnd
SDNodeST                 | 20           | X86GF2P8affineinvqb
SDNodeST                 | 21           | X86GF2P8affineqb
SDNodeST                 | 22           | X86GF2P8mulb
SDNodeST                 | 23           | X86GetMants
SDNodeST                 | 24           | X86GetMantsSAE
SDNodeST                 | 25           | X86MFence
SDNodeST                 | 26           | X86MTruncSStore
SDNodeST                 | 27           | X86MTruncUSStore
SDNodeST                 | 28           | X86MemBarrier
SDNodeST                 | 29           | X86Movddup
SDNodeST                 | 30           | X86Movhlps
SDNodeST                 | 31           | X86Movlhps
SDNodeST                 | 32           | X86Movsd
SDNodeST                 | 33           | X86Movsh
SDNodeST                 | 34           | X86Movshdup
SDNodeST                 | 35           | X86Movsldup
SDNodeST                 | 36           | X86Movss
SDNodeST                 | 37           | X86NoTrackBrind
SDNodeST                 | 38           | X86NoTrackCall
SDNodeST                 | 39           | X86PAlignr
SDNodeST                 | 40           | X86PShufd
SDNodeST                 | 41           | X86PShufhw
SDNodeST                 | 42           | X86PShuflw
SDNodeST                 | 43           | X86Packss
SDNodeST                 | 44           | X86Packus
SDNodeST                 | 45           | X86ProbedAlloca
SDNodeST                 | 46           | X86Ranges
SDNodeST                 | 47           | X86RangesSAE
SDNodeST                 | 48           | X86RecoverFrameAlloc
SDNodeST                 | 49           | X86Reduces
SDNodeST                 | 50           | X86ReducesSAE
SDNodeST                 | 51           | X86RndScales
SDNodeST                 | 52           | X86RndScalesSAE
SDNodeST                 | 53           | X86SegAlloca
SDNodeST                 | 54           | X86Shuf128
SDNodeST                 | 55           | X86Shufp
SDNodeST                 | 56           | X86SintToFp
SDNodeST                 | 57           | X86SintToFpRnd
SDNodeST                 | 58           | X86SubVBroadcastld
SDNodeST                 | 59           | X86TLSCall
SDNodeST                 | 60           | X86TruncSStore
SDNodeST                 | 61           | X86TruncUSStore
SDNodeST                 | 62           | X86UintToFp
SDNodeST                 | 63           | X86UintToFpRnd
SDNodeST                 | 64           | X86Unpckh
SDNodeST                 | 65           | X86Unpckl
SDNodeST                 | 66           | X86VAlign
SDNodeST                 | 67           | X86VBroadcast
SDNodeST                 | 68           | X86VBroadcastld
SDNodeST                 | 69           | X86VBroadcastm
SDNodeST                 | 70           | X86VFixupimm
SDNodeST                 | 71           | X86VFixupimmSAE
SDNodeST                 | 72           | X86VFixupimmSAEs
SDNodeST                 | 73           | X86VFixupimms
